date,region,product,units_sold,unit_price
2024-01-05,North,Widget,10,9.99
2024-01-12,South,Gadget,5,19.99
2024-02-03,North,Widget,7,9.99
2024-02-20,East,Gizmo,3,29.99
2024-03-01,West,Widget,12,9.99
2024-03-15,South,Gadget,8,19.99
2024-04-10,East,Gizmo,6,29.99
2024-04-21,North,Widget,9,9.99
2024-05-05,West,Gadget,4,19.99
2024-05-23,South,Widget,11,9.99
2024-06-11,East,Gizmo,2,29.99
2024-06-29,North,Gadget,3,19.99
2024-07-07,West,Widget,14,9.99
2024-07-20,East,Gadget,6,19.99
2024-08-02,South,Gizmo,1,29.99
2024-08-18,North,Widget,8,9.99
2024-09-09,West,Gadget,7,19.99
2024-09-30,East,Widget,5,9.99
2024-10-12,South,Gadget,10,19.99
2024-10-29,North,Gizmo,4,29.99
2024-11-06,West,Widget,9,9.99
2024-11-21,East,Gadget,2,19.99
2024-12-03,South,Widget,13,9.99
2024-12-18,North,Gadget,6,19.99
2024-01-08,East,Gadget,6,19.99
2024-01-19,West,Gizmo,2,29.99
2024-02-10,South,Widget,15,9.99
2024-02-25,East,Gadget,7,19.99
2024-03-08,North,Gizmo,5,29.99
2024-03-22,South,Widget,10,9.99
2024-04-02,West,Gadget,3,19.99
2024-04-18,South,Widget,8,9.99
2024-05-11,North,Gizmo,4,29.99
2024-05-27,East,Gadget,9,19.99
2024-06-05,West,Widget,7,9.99
2024-06-18,South,Gizmo,3,29.99
2024-06-19,North,Widget,18,10.49
2024-06-20,East,Gadget,2,17.99
2024-06-21,West,Gizmo,4,31.49
2024-06-22,South,Widget,0,9.49
2024-06-23,East,Widget,20,9.99
2024-06-24,North,Gadget,14,21.49
2024-06-25,West,Widget,5,10.99
2025-01-07,North,Widget,16,10.49
2025-02-14,South,Gadget,9,18.99
2025-03-03,East,Gizmo,7,30.99
2025-04-21,West,Widget,11,9.79
2025-05-15,South,Gadget,13,20.49
2025-06-11,East,Widget,6,9.89
2024-07-02,East,Widget,12,9.99
2024-07-15,North,Gadget,5,19.99
2024-08-06,West,Gizmo,2,29.99
2024-08-24,South,Widget,9,9.99
2024-09-03,East,Gadget,8,19.99
2024-09-18,North,Widget,6,9.99
2024-10-04,West,Gizmo,3,29.99
2024-10-20,East,Widget,11,9.99
2024-11-02,South,Gadget,4,19.99
2024-11-17,North,Widget,10,9.99
2024-12-08,East,Gizmo,5,29.99
2024-12-23,West,Gadget,7,19.99
